"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"df056ec5-c2ee-4538-b570-757823d3d3bf","26DC83B2330B4D7A982520D3B10978D6","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2014-05-29","2014-05-29",NA,"",NA
"5d1a4e88-1046-425e-9aef-e86dec4e7fef","2A10B541AA8E4A3D9047E5D16CFCB0EC","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-05-29","2014-05-29",NA,"",NA
"8b991890-1f61-4bba-8342-e454929b3d47","F059D58B31564565B0B2E642D319DCEF","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-05-29","2014-05-29",NA,"",NA
"7b84b127-34e0-4cd6-9a0d-0f4ced870a78","3310E8047F0A449FB29806D8986C500A","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-05-30","2014-05-30",NA,"",NA
"3bd4f1e3-a46b-4393-b614-470788c6eb8e","D8B76AD2E4EB4508AFE252CE05539925","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2014-05-30","2014-05-30",NA,"",NA
"0068fda4-5619-4d24-8e84-b1df58f33eee","31164D8C8C6346DB860A16B72054F05D","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2014-05-30","2014-05-30",NA,"",NA
"3cc0e6b7-e830-46cd-8df3-b4f1f4be9a63","B0A1675459F8416B9F4CD520A0B219D1","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2014-05-30","2014-05-30",NA,"",NA
"d721e117-1cce-4d15-9b83-45681796008e","11B54B9565C74C7AA7B464906491A964","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2014-06-25","2014-06-25",NA,"",NA
"3695e4bb-4e9e-40f5-a5ea-17dacf2ed5ac","2C5D99C7013044D1902E4134B19800DD","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2014-06-25","2014-06-25",NA,"Rainstorm previous night",NA
"cf80b618-73bb-424b-a0f2-81c1f3c4de03","3870D85E92264E57A5CCE7CDB0B95823","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2014-06-25","2014-06-25",NA,"Rainstorm previous night",NA
"897e237d-8049-4686-8e8b-42c6e9c6ec71","8BED0558AFC84202870199B26407B667","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2014-06-25","2014-06-25",NA,"",NA
"753813d4-7f06-4281-a356-a7e7ad00da43","5D735430DCCF4AE9B3DEB424E474722B","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2014-06-26","2014-06-26",NA,"",NA
"736a8fb8-79bf-47c9-ac94-de48e35ab115","0EFD6D08DE2D4A37AFF698F27C66C4D9","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2014-06-26","2014-06-26",NA,"",NA
